"COMID","FromNode","ToNode","Hydrosq","AreSqKM","cum_totco2g_m2_day","TOT_urban16","TOT_forest16","TOT_wetland16","TOT_agrc16","TOT_shrub16","CAT_STREAM_LENGTH","CAT_STREAM_SLOPE","TOT_STREAM_LENGTH","TOT_STREAM_SLOPE","CAT_BASIN_AREA","TOT_BASIN_AREA","totco2g_m2_day_fill","logQ_m3_div_s","logDA_km2","logw_m","length_m","logwbkf_m","logd_m","logK_m_div_s","D50_m","StreamOrde","pred_annual_DOC","pred_annual_DO","no3_conc_mg_l","logRT_total_hz_s","logq_hz_total_m_s","totco2_o2g_m2_day","totco2_ang_m2_day"
"23099450",50019159,50019158,50004596,1.8243,188387.070956665,4.93,29.08,1.32,14.58,23.4,1.327,0,11415.35,0.033978,1.82,15158.49,0.0859781625059803,2.01070834715281,4.18065589860237,2.06894747409091,1327,2.10587175421405,0.197355193339407,-3.15322436056115,0.0005918653,7,2.25048866117874,10.8675227135848,0.422089036454026,8.47167443519701,-5.95000714307986,0.0851450581688697,0.000833104337110585
"23099452",50019160,50019159,50004610,1.3563,188386.984978502,4.92,29.08,1.32,14.58,23.4,0.833,0,11414.02,0.033982,1.36,15156.66,0.173470946912632,2.01070582749582,4.18060362880633,2.06891995985049,833,2.10584758258669,0.197334782844963,-2.91942953490812,0.0008251647,7,2.26900820740621,10.8675062216565,0.422053949824092,7.96811921325935,-5.65743915654917,0.17175101086128,0.00171993605135182
"23099454",50019161,50019160,50004624,1.3662,188386.811507555,4.92,29.09,1.32,14.58,23.4,0.78,0,11413.19,0.033984,1.37,15155.31,0.129455481776006,2.01070402773194,4.1805647640565,2.0688995018776,780,2.10582960998451,0.197319606806325,-3.00659556014017,0.0007290116,7,2.251946234771,10.8674940542035,0.422012596854296,8.17773536581192,-5.76728335022183,0.12819550343353,0.00125997834247605
"23099456",50019162,50019161,50004638,4.248,188386.682052074,4.92,29.09,1.32,14.57,23.4,1.946,0,11412.41,0.033987,4.25,15153.94,0.652233920904851,2.0107022279606,4.1805256121059,2.06887889272541,1946,2.1058115045693,0.1973043186229,-2.47647828021326,0.0015487002,7,2.28553280709357,10.8674817053839,0.421986969486052,7.4750025960029,-5.09624821841337,0.645647319812386,0.00658660109246494
"23099458",50019163,50019162,50004654,19.9377,188386.029818153,4.92,29.1,1.32,14.56,23.4,0.294,0,11410.46,0.033992,19.94,15149.69,0.737162518719672,2.01069646864236,4.18040385226113,2.06881479969471,294,2.10575519798657,0.197256773412858,-2.39842971282632,0.0017303959,7,2.28128149872551,10.8674433898971,0.421867464527784,7.01585975225117,-5.05151856976748,0.729724450131343,0.00743806858832898
"23099460",50019164,50019163,50004668,35.4222,188385.292655634,4.92,29.14,1.32,14.47,23.41,4.178,0,11410.17,0.033993,35.42,15129.76,2.89222034462254,2.01066983080145,4.17983192414294,2.06851374308195,4178,2.10549071573496,0.197033444947968,-1.87096917591188,0.0036621692,7,2.2019781571669,10.8672635692945,0.420773279141072,6.58127128874167,-4.41348920990426,2.8650145573831,0.0272057872394393
"23099462",50019165,50019164,50004682,1.053,188382.400435289,4.92,29.2,1.32,14.48,23.33,0.836,0,11405.99,0.034006,1.05,15094.33,24.4622208015892,2.01062195057404,4.17881394986203,2.06797789272044,836,2.10501996404197,0.196635942829082,-1.16422539780228,0.0162952423,7,2.20825864068963,10.8669433126221,0.420677752365426,5.16678072918643,-3.41738105020447,24.2295797626604,0.232641038928763
"23099464",50019166,50019165,50004695,2.6874,188357.938214488,4.92,29.21,1.32,14.48,23.32,1.456,0,11405.15,0.034008,2.69,15093.28,4.42203903198242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099466",50019167,50019166,50017303,0.0063,621.399233779061,1.39,0.01,0,4.43,25.51,0.061,0.02,820.61,0.026663,0.01,871.02,3.37583804130554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099468",50019168,50019167,50017503,2.5596,618.023395737756,1.39,0.01,0,4.43,25.51,1.438,0,820.55,0.026641,2.56,871.01,0.00307518090326494,-0.664804912333046,2.94002319099944,1.41589218837691,1438,1.53215397132577,-0.287091353939287,-4.27911004237806,0.0001194625,4,1.04850665317071,10.0157186110649,1.06724576626702,8.11755582038316,-7.11350927482752,0.00306045776232926,1.47231409356738e-05
"23099470",50019169,50019168,50017702,11.0466,617.999930883815,1.41,0.01,0,4.5,25.76,1.518,0,798.74,0.026579,11.05,856.41,0.00175895412246388,-0.672257349920136,2.93267959988754,1.41202660353269,1518,1.52875800345765,-0.289958904711875,-4.43714589014606,9.54286e-05,4,1.05251694177068,10.0036876604241,1.07899517920533,8.34350652233572,-7.2958494831602,0.00175029984998044,8.65427248343922e-06
"23099472",50019170,50019169,50017903,2.1474,617.997211125108,1.41,0.01,0,4.57,25.21,1.413,0,793.2,0.026715,2.15,842.45,0.0021467253508317,-0.679839906660852,2.92554526875387,1.40827117081814,1413,1.52545880570532,-0.292744743050197,-4.41031060672455,9.91388e-05,4,1.0671519997985,10.0208863349273,1.09536111144177,8.3112045961574,-7.24949160514865,0.00213607662397841,1.06487268532971e-05
"23099474",50019171,50019170,50018110,14.4504,617.994063590458,1.43,0.01,0,4.6,25.26,1.147,0,785.42,0.026941,14.45,836.56,0.000954357071904338,-0.683028920415571,2.92249470694529,1.40666538894468,1147,1.52404810490188,-0.293935936955029,-4.40422499329776,2.76135e-05,4,1.07218064750725,10.0199279424981,1.10762456591661,8.51054501020661,-7.53461714855158,0.000949647736539204,4.70933536513341e-06
"23099484",50019172,50140799,50022263,26.2224,507.372211524093,1.57,0.01,0,6.13,17.15,0.922,0,605.61,0.026106,26.22,628.4,0.000655030501125218,-0.810603416152893,2.79823479414269,1.34125635018502,922,1.46658539153143,-0.342457377143077,-4.40422499329776,7.5874e-06,4,1.13973126834347,10.1169496274772,1.31538079383884,8.51054501020661,-7.79317412396815,0.00065177627539753,3.25422572768761e-06
"23099486",50019173,50019172,50022633,1.0656,303.054390649122,1.29,0.01,0,6.6,15.15,2.018,0,566.89,0.024555,1.07,578.98,0.00123765607136197,-0.844577743594856,2.76266551219456,1.32253307500219,2018,1.45013674443938,-0.356346593300392,-4.67190186163962,6.83547e-05,4,1.20215902243959,10.149509173323,1.35285017316381,8.50282890385828,-7.57348873863543,0.00123115289439694,6.50317696503474e-06
"23099488",50019174,50019173,50025275,2.097,200.447234283672,2.6,0.02,0,5.66,25.93,1.848,0,168.35,0.017345,2.1,236.02,0.00234270259938883,-1.2406730652298,2.37294310175808,1.11738752423842,1848,1.26991364062528,-0.508526746880655,-4.40422499329776,5.76416e-05,3,1.24308212868195,9.99839891882238,1.45906000502779,7.95021040143757,-7.27654432796481,0.00232951522901919,1.31873703696417e-05
"23099492",50019175,50140802,50026954,2.5839,198.969500915289,0.32,0.03,0,8.37,32.22,3.638,0.01,138.88,0.020305,2.58,151.51,0.00196229821278648,-1.3715744201075,2.18045047070918,1.01606154000706,3638,1.18089741138118,-0.583691934850098,-4.40422499329776,5.36614e-05,3,1.21188521701579,10.3789271272458,1.64252881559118,7.7990294862534,-7.31785492362617,0.00195258271491003,9.71549787645542e-06
"23099494",50019176,50019175,50027573,0.612,198.966729691705,0.26,0.03,0,8.76,33.68,1.71,0.01,130.06,0.021375,0.61,144.84,0.00493056788841316,-1.38989431854978,2.16087952072286,1.00575960918041,1710,1.17184702768071,-0.591334066919154,-4.22443687920149,0.0001291162,3,1.13304261535049,10.4311082162028,1.73978531318535,7.37006652543504,-6.97021052916814,0.00490797373334407,2.25941550690925e-05
"23099496",50019177,50019176,50028232,0.0108,198.960319731232,0.25,0.03,0,7.79,34.9,0.124,0.02,120.6,0.022886,0.01,138.67,0.0269549729277496,-1.40839084526946,2.14199723502691,0.995820183591728,124,1.16311510966907,-0.598707287070077,-3.5706555670438,0.0003270011,3,1.06043427287332,10.4397444620652,1.74640573871403,6.40291877844671,-6.14953756723848,0.0268374526420684,0.000117520285681132
"23099498",50019178,50019177,50028942,1.2465,198.931017645238,0.19,0.03,0,6.18,38.81,1.091,0.01,110.46,0.024624,1.25,123.63,0.00709617820194731,-1.45734440418564,2.09211227666221,0.969561295253505,1091,1.14004632586458,-0.618186538052947,-3.99122912445046,0.0001798606,3,0.879394517517749,10.4240624076869,1.65794138988648,6.97451798538882,-6.67121279964547,0.00706846810407864,2.77100978686731e-05
"23099500",50019179,50019178,50029710,0.5301,198.923249665141,0.19,0.03,0,6.31,39.27,0.98,0.01,107.01,0.024951,0.53,121.02,0.00694013205589006,-1.46624784236432,2.0828517656369,0.964686665045523,980,1.13576389817966,-0.621802614394925,-4.00299783465577,0.000176877,3,0.836073966813405,10.4454523435137,1.68205479275622,6.97372408822753,-6.69015699528393,0.00691381592894321,2.63161269468468e-05
"23099502",50019180,50019179,50030519,2.1222,198.887479495854,0.07,0.03,0,1.59,44.47,3.831,0.02,90.68,0.027569,2.12,102.44,0.0051770491116406,-1.53511788713966,2.01048016841955,0.926591059626841,3831,1.1022964004705,-0.650062525781343,-4.01870975097444,0.0001729707,2,0.781818181818182,10.534485441736,1.73896797043751,6.93699341130023,-6.70641648650388,0.00515836319233689,1.86859193037097e-05
"23099504",50019181,50019180,50031388,1.3113,198.880372422316,0,0.03,0,0.41,46.81,1.197,0.02,82.39,0.029372,1.31,96.01,0.0128060233991038,-1.5616313357007,1.98230516097067,0.911760048460715,1197,1.08926715925561,-0.661064400100358,-3.7651874662534,0.0002480093,2,0.781818181818182,10.5061867818248,1.7451076208929,6.5837794630237,-6.3722246247707,0.0127595038848607,4.65195142430939e-05
"23099506",50019182,50019181,50032312,1.6767,198.86659015718,0,0.03,0,0.03,48.38,1.796,0.02,78.79,0.029572,1.68,92.83,0.0114808049169366,-1.57528952054604,1.96769490014296,0.90406936934132,1796,1.08251079502458,-0.666769465317629,-3.80098215870868,0.0002357069,2,0.781818181818182,10.5113076482817,1.67753270257849,6.63901622900677,-6.40782324260413,0.0114391497764117,4.16551405248963e-05
"23099508",50019183,50019182,50033316,0.0027,198.853482038574,0,0.03,0,0.03,51.06,0.029,0.19,74.19,0.030193,0,87.94,94.853759765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099510",50019184,50019183,50034388,1.7388,103.993816096797,0,0.04,0,0.03,54.86,1.374,0.02,67.25,0.02974,1.74,81.77,0.0117267748121223,-1.62887701909202,1.91260568217191,0.875071016515885,1374,1.05703535511258,-0.688280893426671,-3.84602181069129,0.0002210905,2,0.781818181818182,10.5134225511407,1.59375828463722,6.67547891575931,-6.4502612687351,0.0116843859580904,4.23888540318524e-05
"23099512",50019185,50019184,50035550,0.0756,103.97803970935,0,0.04,0,0.03,58.61,0.273,0.04,62.34,0.030638,0.08,76.51,0.0839159734970539,-1.65586051012795,1.88374317701004,0.859878114185167,273,1.04368818768052,-0.699551224174121,-3.15776087954997,0.0005880612,2,0.781818181818182,10.4848966053537,1.50719490162177,5.68037939721013,-5.57282235599844,0.0836125352893502,0.000303438207703724
"23099514",50019186,50019185,50036818,0.9387,103.89318884368,0,0.04,0,0.03,59.8,0.827,0.03,60.09,0.029789,0.94,74.98,0.0574283501084577,-1.66429367770337,1.87493964390924,0.855244032083993,827,1.03961708471731,-0.702988858291893,-3.25666900697418,0.0005109379,2,0.781818181818182,10.4918591595553,1.48636463405234,5.77458646058974,-5.73238246831323,0.057220888613533,0.000207461494924724
"23099516",50019187,50019186,50038220,5.3109,103.832975006188,0,0.04,0,0,63.15,2.324,0.02,55.96,0.0302,5.31,70.99,0.0119695757581246,-1.68701849184208,1.85117637554591,0.842735311400251,2324,1.02862800667992,-0.712268021349815,-3.78937733972875,0.000239627,2,0.781818181818182,10.5038333367097,1.41752881573931,6.56971407225061,-6.37407050728371,0.0119262320396459,4.3343718478685e-05
"23099518",50019188,50019187,50039800,2.7603,103.820011888657,0,0.05,0,0,71.92,1.074,0.02,50.94,0.031802,2.76,61.95,0.0230220822980817,-1.74245425317378,1.79203920758601,0.811606162634712,1074,1.00128063410114,-0.735360107063001,-3.60809393624227,0.0003100553,2,0.781818181818182,10.4755053244831,1.36996173481114,6.24883115516565,-6.16083631708535,0.0229385759708526,8.35063272291397e-05
"23099520",50019189,50019188,50041567,0.0324,103.794127665193,0,0.05,0,0,75.64,0.147,0.04,48.05,0.030801,0.03,58.36,0.0691850012513359,-1.76691817443169,1.76613909583694,0.797972631312623,147,0.989303394908446,-0.745473672236241,-3.23167978248976,0.0005294117,2,0.781818181818182,10.5013773149336,1.35074926078879,5.71198067724531,-5.6569263655482,0.0689362545301464,0.000248746721189477
"23099522",50019190,50019189,50043547,2.4552,103.724300274097,0,0.05,0,0,76.11,1.216,0.03,44.98,0.03068,2.46,55.95,0.0460044136248126,-1.78303212778339,1.74778844742459,0.788313053688622,1216,0.980817327068079,-0.752639296886366,-3.38145092233619,0.0004279,2,0.781818181818182,10.4761730101398,1.35055040298277,5.9137884671851,-5.84909012629888,0.0458380319167589,0.000166381708053747
"23099524",50019191,50019190,50045811,0.7362,103.674589190373,0,0.06,0,0,81.87,0.767,0.01,41.17,0.031091,0.74,50.72,0.00453769643510097,-1.82614449544559,1.70520578808646,0.765898014499258,767,0.961125416033295,-0.769267120911604,-4.19319956405176,0.0001349779,2,0.781818181818182,10.4627676124862,1.35692633406102,7.04500641472664,-6.82159865846624,0.00452112615501783,1.6570280083139e-05
"23099526",50019192,50019191,50048384,0.6966,103.669482373586,0,0.06,0,0,82.43,0.671,0.02,37.68,0.032113,0.7,47.33,0.00676210364928263,-1.85422816358432,1.67511264652021,0.750057318825879,671,0.947209153505532,-0.781017994745932,-4.02259834908716,0.0001720174,2,0.781818181818182,10.4435965419517,1.36766625495768,6.74286913397002,-6.68089394069022,0.00673736766950721,2.47359797754186e-05
"23099528",50019193,50019192,50051339,0.3033,103.649376921634,0,0.06,0,0,81.71,0.522,0.02,35.19,0.030406,0.3,44.68,0.00933875919775232,-1.87956919569804,1.65012677238335,0.736905032034415,522,0.935654694054738,-0.790774565255472,-3.89850519246222,0.0002051979,2,0.781818181818182,10.4600306532228,1.3774801012032,6.54964267887475,-6.51726929992006,0.00930468698307005,3.40722146822654e-05
"23099530",50019194,50019193,50054809,4.7079,103.63824828976,0,0.07,0,0,82.76,1.62,0.02,31.53,0.031082,4.71,42.21,0.0103015097163581,-1.90450243552786,1.62536904963484,0.723872841601201,1620,0.924205740857235,-0.800442046538593,-3.87796607186464,0.0002112766,2,0.781818181818182,10.4619844021838,1.3843362789434,6.52159284105067,-6.45481663178459,0.0102639072726491,3.76024437090257e-05
"23099532",50019195,50019194,50058925,0.036,103.620791238442,0,0.07,0,0,82.64,0.165,0.05,28.11,0.030238,0.04,36.14,0.0639875389940273,-1.97161376037515,1.55794969211333,0.688384040186369,165,0.893028355250718,-0.826768190183683,-3.25039631132251,0.0005155136,2,0.781818181818182,10.5379952801227,1.40380549027634,5.53495718851744,-5.70333480973847,0.0637588000633084,0.000228738930718874
"23099534",50019196,50019195,50063894,0.3033,103.556321501204,0,0.07,0,0,82.91,0.613,0.03,24.64,0.030438,0.3,33.97,0.0185011302573211,-1.99895184969286,1.53104440526824,0.674221395851621,613,0.880586283215908,-0.837274259450809,-3.65025656036186,0.0002920201,2,0.781818181818182,10.5198150798479,1.40942533656756,6.09900778417027,-6.19852768647853,0.0184346428496532,6.648740766789e-05
"23099536",50019197,50019196,50070170,0,103.523354456811,0,0.08,0,0,82.29,0.018,0,21.9,0.027397,0,31.94,103.169967651367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099538",50019198,50019197,50078306,5.7924,0.350040249147346,0,0.09,0,0,83.61,2.162,0.03,18.33,0.030005,5.79,27.19,0.0121611598425149,-2.09463677368529,1.4344507343131,0.623375559693026,2162,0.835917537662282,-0.874992490054534,-3.84168757529341,0.0002224568,2,0.781818181818182,10.484544148288,1.42669558636322,6.31447870252644,-6.40549695617991,0.0121170215634244,4.41382790905555e-05
"23099540",50019199,50019198,50089455,0.1071,0.336267860098412,0,0.13,0,0,86.02,0.182,0.06,13.23,0.034769,0.11,18.77,0.0718819909362212,-2.25348888417154,1.2735359935446,0.538671826376817,182,0.761504177654937,-0.937827033966514,-3.29373850914817,0.0004847142,2,0.781818181818182,10.447873765397,1.46946145666761,5.40451719002116,-5.68312843265165,0.0716193779801324,0.000262612956088834
"23099542",50019200,50019199,50106294,6.606,0.123130073206533,0,0.14,0,0,84.5,1.949,0.04,10.9,0.025688,6.61,16.87,0.0157516830912839,-2.29998184968932,1.22701209599108,0.51418216314035,1949,0.739989681710929,-0.955993846419144,-3.78855159137507,0.0002399085,2,0.781818181818182,10.4576008480906,1.46014913433122,6.07296812881907,-6.33423144928062,0.0156943107468713,5.73723444126064e-05
"23099544",50019201,50019200,50137443,0.1233,0.098498561568367,0,0.13,0,0,84.08,0.407,0.04,5.84,0.027397,0.12,8.04,0.00741146795245481,-2.62367582844193,0.904996691032828,0.34467682848281,407,0.591076983330217,-1.08173553461011,-4.13039928675944,0.0001475804,2,0.781818181818182,10.5751159391776,1.49189949144075,6.21197372751293,-6.67060212063896,0.0073850822422006,2.63857102542111e-05
"23099546",50155213,50019201,50219491,4.4307,0.0176165085677134,0,0.24,0,0,87.57,3.59,0.07,3.59,0.019499,4.43,4.43,0.0176165085677134,-2.87585725074098,0.646472345212081,0.208592482576601,3590,0.471525069538184,-1.18268501487156,-4.0373733176169,0.000180565760680693,1,0.781818181818182,10.420798468461,1.50156737798102,5.781504769434,-6.43752483430326,0.0175519315866184,6.45769810950337e-05
"23099548",50019202,50019166,50004708,7.506,187732.116941677,5.14,31.01,1.4,15.09,23.18,1.313,0,10583.09,0.034583,7.51,14219.58,0.557730673362438,2.00950047677692,4.15288667731511,2.05433006425586,1313,2.09303016461882,0.186511771832957,-2.54018902690742,0.0014146198,7,2.28588230672048,10.9019037269884,0.41989223671293,7.41390488997564,-5.18052845290432,0.552170403382544,0.00556026997989371
"23099550",50019203,50019202,50004721,0.4581,187634.107732282,5.15,31.04,1.41,15.09,23.19,0.722,0,10566.48,0.034617,0.46,14205.21,0.283642096004156,2.009481586522,4.15244769510314,2.05409898889237,722,2.09282716182852,0.186340356551041,-2.74606967890063,0.0010557301,7,2.2708224507942,10.9017656123827,0.419764381541404,7.76078650336929,-5.4315987810515,0.280859572831612,0.00278252317254457
"23099552",50019204,50019203,50004734,0.7875,187633.824090186,5.15,31.04,1.41,15.09,23.19,0.419,0,10565.76,0.034619,0.79,14204.75,4.27636098861694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099554",50019205,50019204,50004747,3.1491,187629.547729198,5.15,31.04,1.41,15.09,23.19,1.495,0,10565.34,0.034621,3.15,14203.97,0.376133102773894,2.00947990200099,4.15240961183091,2.05407894228061,1495,2.09280955061258,0.186325485652226,-2.67006106447849,0.0011761746,7,2.27020438582629,10.9017536878037,0.419763426924806,7.73073886613333,-5.33816839136817,0.372444210457903,0.00368889231599116
"23099558",50019206,50140804,50004790,0.1953,187325.569610274,5.15,31.08,1.41,15.11,23.2,0.325,0,10539.27,0.034646,0.2,14186.58,0.103297756695145,2.00945716032478,4.15187766552486,2.05379893164994,325,2.09256355753707,0.186117769441327,-3.11170405436574,0.0006278453,7,2.27862961113886,10.9015863454405,0.41974498300696,8.30562831814913,-5.90177173449706,0.10227640101499,0.00102135568015501
"23099560",50019207,50019206,50004804,1.5552,187227.183827397,5.15,31.08,1.41,15.11,23.21,0.977,0,10537.01,0.034634,1.56,14185.36,0.463531452514415,2.00945559603875,4.15184038641008,2.05377930833774,977,2.09254631819544,0.186103212555207,-2.60667086134838,0.0012870682,7,2.28109617634287,10.9015745977941,0.419743785390998,7.59222656969779,-5.26353178528959,0.458932843176726,0.00459860933768834
"23099562",50019208,50019207,50004818,0.2601,187129.167181105,5.15,31.09,1.41,15.11,23.21,0.343,0,10533.88,0.034607,0.26,14182.71,0.319335708738523,2.00945210645704,4.15175936976174,2.05373666207337,343,2.09250885288313,0.186071576903385,-2.71130990536283,0.0011091992,7,2.30754758387191,10.9015490768842,0.419740745404088,7.79449099560067,-5.39150605833375,0.316080089667372,0.00325561907115176
